latitude,longitude
10.078221,79.110885
12.926179,79.356932
11.7862533,77.8007
11.598814,78.605787
11.599894,78.577653
11.275763,77.074192
20.5428,74.5318
20.5542,74.5419
21.1082,84.07736
20.95107,84.31084
21.5329,84.18524
21.41479,84.03514
22.04549,84.29027
21.86672,84.46085
21.26004,83.92458
22.1156,84.31715
21.91254,84.39531
21.95675,84.45403
23.1673,88.55395
21.86084,84.41338
23.42449,88.35721
21.73493,83.99474
20.5578,74.534
21.43657,83.97003
21.392582,83.913273
21.485679,21.485679
21.74096,84.29908
21.79868,84.40981
21.24157,84.65826
21.3194,84.3827
21.23827,84.71197
10.164039,77.755746
21.59583,84.43338
21.53325,84.38342
21.64749,84.24001
21.43922,84.19505
13.450732,77.947218
13.38145,77.889121
21.416667,74.666667
23.116275,78.995798
13.522752,13.522752
13.27937,77.94567
21.3313,84.10079
21.35513,84.24712
10.818557,79.83837
11.107101,79.652003
11.239889,79.734352
11.19481,79.705003
